Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P101	0.0977	-1.9644	0.4564	-1.8396	0.7465	0.9147	-1.278	0.6105	0.3435	0.2258	0.2383	-0.7924	-0.1831	0.4575	0.9407	1.0907
P102	0.2489	-1.6519	0.304	-1.6313	0.1075	0.5619	-0.6467	0.8067	0.0146	0.1027	-0.2015	-0.4615	-0.1772	-0.0836	1.3201	1.4582
P103	0.6492	-1.4467	0.0559	-1.1334	1.1135	-0.0126	0.287	-0.0185	-0.7653	-0.0485	-1.1225	-0.502	0.0515	-0.025	2.2475	0.7413
P104	0.619	-0.3247	1.3437	-1.5739	0.6941	0.294	-1.961	0.8308	-0.9578	-0.1756	0.5441	-0.8901	-0.0482	1.773	-0.1928	0.0665
P105	0.1277	-1.3968	0.42	-0.8105	-1.2062	0.3059	-0.4697	0.6695	-0.0335	0.3162	0.202	-0.3175	-0.2801	-0.8837	1.3419	2.0961
P106	-0.1685	-0.9414	0.3002	-1.7275	-0.6187	0.4427	-0.9101	1.5729	0.0742	0.0142	0.247	-0.819	-0.3995	0.0929	1.1541	1.7728
P107	0.0857	-1.2695	0.7322	-0.0791	-0.1083	-0.1515	-0.2839	-0.6033	-0.457	0.1057	-0.2557	-1.1353	0.4859	0.7494	1.7458	0.4798
P108	0.4347	-1.2164	1.3289	-0.7102	-0.0049	0.2982	-1.6185	-0.3627	-0.576	0.4823	1.4305	-0.7359	0.2578	0.8931	-0.532	0.6777
P109	-0.2464	-1.0185	0.8527	-1.5595	0.1259	0.6049	-1.6039	0.6701	0.2557	0.1494	0.7867	-1.1167	0.0561	1.2098	0.2961	0.5884
P110	-0.6766	-1.7235	0.2436	-0.8909	0.6914	0.639	0.4925	0.1889	-0.0474	0.0258	-0.9903	-1.021	0.415	-0.2585	2.1166	0.8598
P111	0.5986	-1.4301	0.5347	-0.9189	-0.6219	0.172	-0.5104	-0.9602	0.1563	0.5569	0.6747	-0.9024	0.6435	0.0899	1.6458	0.3129
P112	-0.2882	-1.6787	0.4197	-1.8168	1.093	0.8414	-0.731	0.3969	0.2298	0.2491	-0.0128	-1.4603	0.3348	0.5426	1.3946	0.5503
P113	0.3269	-1.9906	0.3572	-1.6799	-0.017	0.7551	-0.662	-0.0172	0.204	0.3472	0.4748	-0.4323	0.0681	-0.5823	1.6408	1.2796
P114	0.8554	-0.9575	0.8211	-1.4103	-0.4084	-0.0194	-1.3965	1.1148	-0.7948	-0.2248	-0.0514	-0.261	-0.386	0.817	0.7138	1.6495
P115	-0.1523	-2.1405	0.1832	-0.9544	0.2637	0.883	-0.0187	-1.2021	0.6138	1.1537	0.7018	-0.8888	0.5701	-0.896	1.1997	0.7522
P116	0.2863	-1.6026	0.5482	-1.507	-0.9466	0.6511	-1.2008	0.0474	0.5263	0.5689	1.3499	-0.3521	0.0588	-0.3416	0.7359	1.2408
P117	1.023	-1.8428	0.6995	-1.4837	0.3629	0.6347	-1.1562	-0.3408	-0.3674	0.6128	0.8767	-0.5166	-0.0791	-0.4241	0.7606	1.3169
P118	0.6413	-1.6614	0.7001	-1.3824	-0.7505	0.5944	-1.3674	-0.4144	0.4373	0.8689	1.5976	-0.4195	0.1135	-0.3045	0.3849	1.0213
P119	0.0414	-0.2753	1.3597	0.1837	0.4739	1e-04	-0.2077	-1.0717	-1.3459	0.2988	0.7693	-1.979	0.9771	0.697	0.8348	-0.7118
P120	-0.4452	-2.2859	0.1614	-1.3759	0.1729	1.0973	-0.1867	-0.302	0.6932	0.5244	0.4022	-0.4499	0.1922	-0.5589	1.3484	1.0785
P121	0.6561	-1.3163	0.5056	-1.1141	0.6009	0.3883	-0.7966	-0.8212	-0.2358	1.0473	1.201	-1.3308	0.2477	-0.4504	0.7377	0.7682
P122	0.1898	-0.2878	1.253	-0.9455	1.104	-0.0251	-1.4182	0.3025	-1.038	0.1226	0.2989	-1.4555	0.2812	1.9734	-0.1001	-0.2113
