	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P099	-2.0022	0.3451	0.9056	0.5591	-0.5456	0.6358	0.3114	-0.0507	2.6102	-1.062	-0.5723	0.3235	0.6279	-0.7485	-0.8637	-0.4909
P100	-2.0213	0.3323	0.8965	0.5859	-0.4993	0.562	0.3261	-0.0557	2.6026	-1.0573	-0.6228	0.3364	0.6707	-0.7174	-0.8802	-0.476
P101	-1.9552	0.3313	0.9716	0.553	-0.4689	0.4434	0.3747	-0.0569	2.5861	-1.1271	-0.7056	0.4277	0.6948	-0.6696	-0.8781	-0.54
P102	-2.0075	0.2986	0.9473	0.5326	-0.5192	0.6091	0.3588	-0.0307	2.5941	-1.0903	-0.5832	0.341	0.6251	-0.72	-0.8874	-0.4868
P103	-2.0488	0.3594	0.6987	0.7129	-0.416	0.3959	0.289	-0.1537	2.6606	-0.9768	-0.6678	0.3626	0.7665	-0.6906	-0.8578	-0.4491
P104	-2.0239	0.3103	0.8505	0.6075	-0.5044	0.5934	0.3069	-0.0553	2.6152	-1.0327	-0.6288	0.3711	0.6588	-0.744	-0.8456	-0.4956
P105	-2.034	0.3966	0.8618	0.6216	-0.5029	0.5129	0.2953	-0.1275	2.612	-1.0445	-0.6008	0.3085	0.7115	-0.7044	-0.865	-0.4585
P106	-1.9775	0.394	0.994	0.5807	-0.5388	0.5728	0.3372	-0.0646	2.547	-1.1686	-0.5348	0.3507	0.6191	-0.7366	-0.9057	-0.4892
P107	-2.0244	0.2855	0.9547	0.5592	-0.5684	0.6776	0.299	-0.009	2.5784	-1.0372	-0.5847	0.3861	0.5838	-0.7355	-0.844	-0.5382
P108	-1.9801	0.3237	1.0326	0.5219	-0.586	0.6453	0.3286	-0.012	2.5499	-1.1215	-0.5588	0.3756	0.5941	-0.733	-0.8731	-0.5267
P109	-2.0032	0.3135	0.9986	0.5427	-0.5753	0.63	0.3074	-0.0081	2.5733	-1.068	-0.5662	0.3762	0.5921	-0.726	-0.8769	-0.5285
P110	-2.0331	0.2775	0.919	0.5623	-0.5326	0.6034	0.306	-0.0271	2.6038	-1.0208	-0.6137	0.3915	0.6332	-0.7163	-0.8581	-0.5118
