Target ID	Target name	TF list
ENSG00000120885	CLU	ENSG00000170345;ENSG00000175592;ENSG00000075426;ENSG00000171223;ENSG00000130522;ENSG00000134323;
ENSG00000179335	CLK3	ENSG00000169083;
ENSG00000196136	SERPINA3	ENSG00000109320;ENSG00000173039;
ENSG00000139287	TPH2	ENSG00000084093;
ENSG00000170374	SP7	ENSG00000124813;
ENSG00000189046	ALKBH2	ENSG00000141510;
ENSG00000133105	RXFP2	ENSG00000125398;
ENSG00000147872	PLIN2	ENSG00000186951;ENSG00000132170;ENSG00000132170;
ENSG00000163823	CCR1	ENSG00000115415;
ENSG00000183625	CCR3	ENSG00000102145;ENSG00000109320;ENSG00000173039;
ENSG00000183813	CCR4	ENSG00000075426;ENSG00000049768;ENSG00000130522;ENSG00000073861;
ENSG00000160791	CCR5	ENSG00000127528;ENSG00000109320;ENSG00000151623;ENSG00000173039;
ENSG00000112486	CCR6	ENSG00000151623;
ENSG00000126353	CCR7	ENSG00000116016;ENSG00000100644;ENSG00000127528;ENSG00000109320;ENSG00000109320;ENSG00000173039;ENSG00000173039;ENSG00000124496;
ENSG00000187758	ADH1A	ENSG00000179348;
ENSG00000023839	ABCC2	ENSG00000126456;
ENSG00000173846	PLK3	ENSG00000141510;
ENSG00000173786	CNP	ENSG00000102804;
ENSG00000118432	CNR1	ENSG00000166888;
ENSG00000108821	COL1A1	ENSG00000134954;ENSG00000118513;ENSG00000101057;ENSG00000141905;ENSG00000109320;ENSG00000173039;ENSG00000185591;ENSG00000172845;ENSG00000166888;ENSG00000137203;
ENSG00000164692	COL1A2	ENSG00000115816;ENSG00000151702;ENSG00000172059;ENSG00000118513;ENSG00000109320;ENSG00000173039;ENSG00000132005;ENSG00000143390;ENSG00000166888;ENSG00000100811;
ENSG00000197894	ADH5	ENSG00000077092;
ENSG00000139219	COL2A1	ENSG00000109320;ENSG00000173039;ENSG00000125398;ENSG00000125398;ENSG00000125398;ENSG00000185591;ENSG00000185591;ENSG00000172845;ENSG00000172845;
ENSG00000187498	COL4A1	ENSG00000136944;
ENSG00000171872	KLF17	ENSG00000122691;
ENSG00000169031	COL4A3	ENSG00000148516;
ENSG00000081052	COL4A4	ENSG00000136944;
ENSG00000114270	COL7A1	ENSG00000109320;ENSG00000173039;ENSG00000166949;ENSG00000141646;ENSG00000185591;
ENSG00000172955	ADH6	ENSG00000185591;
ENSG00000123500	COL10A1	ENSG00000116016;
ENSG00000060718	COL11A1	ENSG00000115816;
ENSG00000204248	COL11A2	ENSG00000149948;ENSG00000100146;ENSG00000125398;ENSG00000185591;ENSG00000172845;ENSG00000170374;
ENSG00000105664	COMP	ENSG00000178951;ENSG00000185591;
ENSG00000057019	DCBLD2	ENSG00000137203;ENSG00000137203;
ENSG00000067082	KLF6	ENSG00000144852;
ENSG00000136868	SLC31A1	ENSG00000185591;
ENSG00000179059	ZFP42	ENSG00000204531;
ENSG00000189308	LIN54	ENSG00000205250;
ENSG00000148926	ADM	ENSG00000172216;ENSG00000172216;ENSG00000122034;ENSG00000137203;
ENSG00000111775	COX6A1	ENSG00000068305;ENSG00000106459;ENSG00000100811;
ENSG00000163485	ADORA1	ENSG00000109320;ENSG00000173039;
ENSG00000164211	STARD4	ENSG00000118217;
ENSG00000128271	ADORA2A	ENSG00000109320;ENSG00000173039;ENSG00000100811;ENSG00000163848;
ENSG00000127184	COX7C	ENSG00000100811;
ENSG00000165215	CLDN3	ENSG00000124216;ENSG00000185591;
ENSG00000181885	CLDN7	ENSG00000163435;ENSG00000020633;
ENSG00000110090	CPT1A	ENSG00000186951;
ENSG00000205560	CPT1B	ENSG00000081189;ENSG00000132170;ENSG00000186350;
ENSG00000203710	CR1	ENSG00000134954;
ENSG00000117322	CR2	ENSG00000116017;ENSG00000172216;ENSG00000257923;ENSG00000109320;ENSG00000168214;ENSG00000173039;ENSG00000182568;ENSG00000071564;
ENSG00000166426	CRABP1	ENSG00000131759;ENSG00000109906;
ENSG00000143320	CRABP2	ENSG00000137203;ENSG00000087510;
ENSG00000118260	CREB1	ENSG00000169136;ENSG00000095794;ENSG00000184481;ENSG00000185591;ENSG00000112658;
ENSG00000115966	ATF2	ENSG00000175197;ENSG00000113580;ENSG00000185591;
ENSG00000005339	CREBBP	ENSG00000101412;ENSG00000136997;ENSG00000100811;ENSG00000100811;
ENSG00000095794	CREM	ENSG00000170345;ENSG00000177606;ENSG00000185591;
ENSG00000147571	CRH	ENSG00000169083;ENSG00000091831;ENSG00000140009;ENSG00000153234;ENSG00000131759;
ENSG00000145708	CRHBP	ENSG00000091831;
ENSG00000120088	CRHR1	ENSG00000109320;ENSG00000173039;
ENSG00000282608	ADORA3	ENSG00000109320;ENSG00000173039;
ENSG00000072832	CRMP1	ENSG00000245848;ENSG00000109320;ENSG00000185591;
ENSG00000132693	CRP	ENSG00000172216;ENSG00000170345;ENSG00000135100;ENSG00000109320;ENSG00000109320;ENSG00000162924;ENSG00000173039;ENSG00000173039;ENSG00000168610;ENSG00000168610;
ENSG00000169876	MUC17	ENSG00000165556;ENSG00000109320;ENSG00000173039;
ENSG00000105392	CRX	ENSG00000137203;
ENSG00000130700	GATA5	ENSG00000158773;
ENSG00000008405	CRY1	ENSG00000133794;ENSG00000133794;ENSG00000134852;ENSG00000134852;ENSG00000170485;
ENSG00000121671	CRY2	ENSG00000133794;ENSG00000133794;ENSG00000134852;ENSG00000134852;ENSG00000170485;
ENSG00000109846	CRYAB	ENSG00000137309;ENSG00000137203;ENSG00000008196;ENSG00000141510;
ENSG00000168582	CRYGA	ENSG00000185122;
ENSG00000182187	CRYGB	ENSG00000185122;
ENSG00000143799	PARP1	ENSG00000134954;ENSG00000134954;ENSG00000100811;
ENSG00000163254	CRYGC	ENSG00000102878;
ENSG00000112062	MAPK14	ENSG00000068305;
ENSG00000184371	CSF1	ENSG00000245848;ENSG00000177606;ENSG00000109320;ENSG00000109320;ENSG00000132170;ENSG00000173039;ENSG00000173039;ENSG00000159216;ENSG00000066336;
ENSG00000182578	CSF1R	ENSG00000113580;ENSG00000159216;
ENSG00000149212	SESN3	ENSG00000185122;
ENSG00000164400	CSF2	ENSG00000102974;ENSG00000134954;ENSG00000157557;ENSG00000177606;ENSG00000109320;ENSG00000173039;ENSG00000159216;
ENSG00000198223	CSF2RA	ENSG00000245848;ENSG00000066336;
ENSG00000119535	CSF3R	ENSG00000245848;ENSG00000172216;ENSG00000134954;ENSG00000157557;ENSG00000118513;ENSG00000066336;ENSG00000066336;
ENSG00000136488	CSH1	ENSG00000172216;ENSG00000141905;ENSG00000137203;
ENSG00000213218	CSH2	ENSG00000172216;
ENSG00000165891	E2F7	ENSG00000141510;
ENSG00000135222	CSN2	ENSG00000126561;
ENSG00000113712	CSNK1A1	ENSG00000164736;
ENSG00000133937	GSC	ENSG00000106038;
ENSG00000101266	CSNK2A1	ENSG00000134954;ENSG00000109320;ENSG00000173039;ENSG00000185591;
ENSG00000204435	CSNK2B	ENSG00000134954;
ENSG00000140326	CDAN1	ENSG00000101412;
ENSG00000038427	VCAN	ENSG00000196628;ENSG00000141510;
ENSG00000159176	CSRP1	ENSG00000172216;ENSG00000135100;ENSG00000162924;ENSG00000168610;ENSG00000168610;
ENSG00000213859	KCTD11	ENSG00000185591;
ENSG00000185269	NOTUM	ENSG00000196628;
ENSG00000170367	CST5	ENSG00000111424;
ENSG00000175065	DSG4	ENSG00000109101;ENSG00000123364;ENSG00000138795;
ENSG00000121552	CSTA	ENSG00000170345;ENSG00000177606;ENSG00000130522;ENSG00000087510;
ENSG00000197380	DACT3	ENSG00000183072;
ENSG00000177045	SIX5	ENSG00000102974;
ENSG00000120907	ADRA1A	ENSG00000118260;ENSG00000185591;ENSG00000137203;
ENSG00000127666	TICAM1	ENSG00000185591;
